"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"290";5;22;2;8;2;10662626;10675365;12739;1;2;0
"291";5;22;2;9;3;10675578;10687482;11904;1;3;0
"292";5;6;2;10;1;10774744;10780853;6109;1;1;1
"293";5;6;2;11;2;10781049;10795703;14654;1;2;0
"294";5;6;2;12;3;10795898;10806760;10862;2;2;1
"295";5;3;7;13;1;11070521;11083361;12840;3;1;0
"296";5;3;7;14;2;11083606;11093307;9701;2;2;1
"297";5;3;7;15;3;11093508;11097300;3792;1;1;1
"298";5;16;4;16;1;11188920;11195629;6709;1;1;1
"299";5;16;4;17;2;11195845;11217820;21975;3;1;0
"300";5;16;4;18;3;11218020;11221062;3042;1;1;1
"301";5;11;7;19;1;11339362;11376790;37428;3;2;0
"302";5;11;7;20;2;11376986;11393697;16711;2;2;1
"303";5;11;7;21;3;11393917;11402055;8138;2;2;1
"304";5;7;3;22;1;11502034;11512268;10234;3;1;0
"305";5;7;3;23;2;11512478;11528809;16331;2;2;1
"306";5;7;3;24;3;11529027;11534433;5406;1;1;1
"307";5;17;5;25;1;11961692;11972518;10826;3;3;1
"308";5;17;5;26;2;11972725;11994468;21743;3;1;0
"309";5;17;5;27;3;11994719;12005975;11256;1;1;1
"310";5;14;2;28;1;12143889;12153004;9115;2;2;1
"311";5;14;2;29;2;12153195;12174970;21775;2;1;0
"312";5;14;2;30;3;12175206;12183210;8004;1;1;1
"313";5;8;4;31;1;12331520;12365854;34334;2;2;1
"314";5;8;4;32;2;12366055;12381336;15281;3;1;0
"315";5;8;4;33;3;12381562;12394904;13342;1;1;1
"316";5;5;1;34;1;12519205;12528649;9444;3;1;0
"317";5;5;1;35;2;12528885;12539539;10654;3;2;0
"318";5;5;1;36;3;12539752;12546046;6294;3;3;1
"319";5;21;1;37;1;12656573;12672318;15745;3;1;0
"320";5;21;1;38;2;12672546;12687311;14765;3;3;1
"321";5;21;1;39;3;12687546;12691209;3663;2;2;1
"322";5;19;7;40;1;12803070;12811771;8701;3;2;0
"323";5;19;7;41;2;12811977;12818479;6502;1;1;1
"324";5;19;7;42;3;12818680;12832937;14257;2;3;0
"325";5;15;3;43;1;12943256;12956232;12976;3;1;0
"326";5;15;3;44;2;12956443;12967482;11039;2;2;1
"327";5;15;3;45;3;12967702;12978456;10754;2;2;1
"328";5;1;5;46;1;13078532;13087703;9171;3;1;0
"329";5;1;5;47;2;13087918;13112077;24159;3;3;1
"330";5;1;5;48;3;13112307;13116627;4320;2;2;1
"331";5;23;3;49;1;13235866;13247048;11182;3;2;0
"332";5;23;3;50;2;13247239;13262454;15215;1;2;0
"333";5;23;3;51;3;13262693;13268612;5919;2;2;1
